rank,methodId,strategy,hold,betCount,days,winDays,hitRate,atLeast2Rate,atLeast3Rate,totalHits,profitK,roi,longestWin,longestLoss,decision
"1","chainSmallFirstHold65:twoHitGreedy:top6","chainSmallFirst","65","6","174","109","0.9080459770114943","0.6264367816091954","0.3333333333333333","351","406800","0.16941529235382308","7","4","BEST_CURRENT"
"2","chainSmallFirstHold65:twoHitGreedy:top7","chainSmallFirst","65","7","174","72","0.9367816091954023","0.7011494252873564","0.41379310344827586","399","390600","0.13943028485757122","4","8",""
"3","chainSmallFirstHold65:twoHitGreedy:top5","chainSmallFirst","65","5","174","93","0.8505747126436781","0.5344827586206896","0.22988505747126436","293","343000","0.1714142928535732","5","4",""
"4","chainSmallFirstHold65:twoHitGreedy:top4","chainSmallFirst","65","4","174","72","0.7816091954022989","0.41379310344827586","0.13218390804597702","236","287200","0.1794102948525737","3","6",""
"5","chainSmallFirstHold65:twoHitGreedy:top3","chainSmallFirst","65","3","174","117","0.6724137931034483","0.25862068965517243","0.07471264367816093","177","215400","0.1794102948525737","11","4",""
"6","chainSmallFirstHold70:twoHitGreedy:top7","chainSmallFirst","70","7","174","63","0.9252873563218391","0.6839080459770115","0.3620689655172414","371","166600","0.059470264867566215","5","8",""
"7","chainBlockFirstHold65:twoHitGreedy:top5","chainBlockFirst","65","5","174","82","0.8103448275862069","0.47126436781609193","0.19540229885057472","270","159000","0.07946026986506746","6","8","CHAIN_BLOCK_FIRST_NOT_BEST"
"8","chainSmallFirstHold70:twoHitGreedy:top6","chainSmallFirst","70","6","174","101","0.8850574712643678","0.5804597701149425","0.2471264367816092","314","110800","0.04614359486923205","7","4",""
"9","chainBlockFirstHold65:twoHitGreedy:top7","chainBlockFirst","65","7","174","61","0.867816091954023","0.6264367816091954","0.3505747126436782","364","110600","0.03948025987006497","4","10","CHAIN_BLOCK_FIRST_NOT_BEST"
"10","chainSmallFirstHold70:twoHitGreedy:top3","chainSmallFirst","70","3","174","114","0.6551724137931034","0.22988505747126436","0.04597701149425287","163","103400","0.08612360486423455","9","6",""
"11","chainSmallFirstHold70:twoHitGreedy:top5","chainSmallFirst","70","5","174","79","0.8505747126436781","0.4540229885057471","0.16666666666666666","263","103000","0.05147426286856572","6","6",""
"12","chainBlockFirstHold65:twoHitGreedy:top6","chainBlockFirst","65","6","174","95","0.8390804597701149","0.5459770114942529","0.25862068965517243","311","86800","0.036148592370481424","6","4","CHAIN_BLOCK_FIRST_NOT_BEST"
"13","chainBlockFirstHold70:twoHitGreedy:top7","chainBlockFirst","70","7","174","62","0.8448275862068966","0.6264367816091954","0.3563218390804598","361","86600","0.03091311487113586","5","20","CHAIN_BLOCK_FIRST_NOT_BEST"
"14","chainSmallFirstHold70:twoHitGreedy:top4","chainSmallFirst","70","4","174","59","0.7586206896551724","0.3390804597701149","0.08620689655172414","210","79200","0.049475262368815595","3","9",""
"15","chainBlockFirstHold65:twoHitGreedy:top4","chainBlockFirst","65","4","174","63","0.7011494252873564","0.3620689655172414","0.1206896551724138","209","71200","0.04447776111944028","4","9","CHAIN_BLOCK_FIRST_NOT_BEST"
"16","chainBlockFirstHold65:twoHitGreedy:top3","chainBlockFirst","65","3","174","104","0.5977011494252874","0.23563218390804597","0.05747126436781609","157","55400","0.04614359486923205","9","4","CHAIN_BLOCK_FIRST_NOT_BEST"
"17","chainBlockFirstHold70:twoHitGreedy:top6","chainBlockFirst","70","6","174","93","0.7988505747126436","0.5344827586206896","0.27011494252873564","303","22800","0.009495252373813094","8","12","CHAIN_BLOCK_FIRST_NOT_BEST"
"18","chainBlockFirstHold70:twoHitGreedy:top4","chainBlockFirst","70","4","174","59","0.6781609195402298","0.3390804597701149","0.1206896551724138","202","15200","0.009495252373813094","5","12","CHAIN_BLOCK_FIRST_NOT_BEST"
"19","chainBlockFirstHold70:twoHitGreedy:top5","chainBlockFirst","70","5","174","76","0.7471264367816092","0.4367816091954023","0.1896551724137931","251","7000","0.0034982508745627187","7","12","CHAIN_BLOCK_FIRST_NOT_BEST"
"20","chainBlockFirstHold70:twoHitGreedy:top3","chainBlockFirst","70","3","174","97","0.5574712643678161","0.21264367816091953","0.08045977011494253","149","-8600","-0.007163085124104614","8","5","CHAIN_BLOCK_FIRST_NOT_BEST"
