type,period,startDate,endDate,days,winDays,lossDays,hitDays,hits,stakeK,payoutK,profitK,hitRate,winRate,roi,avgHitsPerDay,bestDayProfitK,worstDayProfitK
de,2025-12-29,2026-01-01,2026-01-04,4,1,3,1,1,120000,84000,-36000,0.25,0.25,-0.3,0.25,54000,-30000
de,2026-01-05,2026-01-05,2026-01-11,7,5,2,5,5,210000,420000,210000,0.7142857142857143,0.7142857142857143,1,0.7142857142857143,54000,-30000
de,2026-01-12,2026-01-12,2026-01-18,7,3,4,3,3,210000,252000,42000,0.42857142857142855,0.42857142857142855,0.2,0.42857142857142855,54000,-30000
de,2026-01-19,2026-01-19,2026-01-25,7,6,1,6,6,210000,504000,294000,0.8571428571428571,0.8571428571428571,1.4,0.8571428571428571,54000,-30000
de,2026-01-26,2026-01-26,2026-02-01,7,5,2,5,5,210000,420000,210000,0.7142857142857143,0.7142857142857143,1,0.7142857142857143,54000,-30000
de,2026-02-02,2026-02-02,2026-02-08,7,5,2,5,5,210000,420000,210000,0.7142857142857143,0.7142857142857143,1,0.7142857142857143,54000,-30000
de,2026-02-09,2026-02-09,2026-02-15,7,4,3,4,4,210000,336000,126000,0.5714285714285714,0.5714285714285714,0.6,0.5714285714285714,54000,-30000
de,2026-02-16,2026-02-20,2026-02-22,3,2,1,2,2,90000,168000,78000,0.6666666666666666,0.6666666666666666,0.8666666666666667,0.6666666666666666,54000,-30000
de,2026-02-23,2026-02-23,2026-03-01,7,5,2,5,5,210000,420000,210000,0.7142857142857143,0.7142857142857143,1,0.7142857142857143,54000,-30000
de,2026-03-02,2026-03-02,2026-03-08,7,1,6,1,1,210000,84000,-126000,0.14285714285714285,0.14285714285714285,-0.6,0.14285714285714285,54000,-30000
de,2026-03-09,2026-03-09,2026-03-15,7,0,7,0,0,210000,0,-210000,0,0,-1,0,-30000,-30000
de,2026-03-16,2026-03-16,2026-03-22,7,2,5,2,2,210000,168000,-42000,0.2857142857142857,0.2857142857142857,-0.2,0.2857142857142857,54000,-30000
de,2026-03-23,2026-03-23,2026-03-29,7,5,2,5,5,210000,420000,210000,0.7142857142857143,0.7142857142857143,1,0.7142857142857143,54000,-30000
de,2026-03-30,2026-03-30,2026-04-05,7,1,6,1,1,210000,84000,-126000,0.14285714285714285,0.14285714285714285,-0.6,0.14285714285714285,54000,-30000
de,2026-04-06,2026-04-06,2026-04-12,7,5,2,5,5,210000,420000,210000,0.7142857142857143,0.7142857142857143,1,0.7142857142857143,54000,-30000
de,2026-04-13,2026-04-13,2026-04-19,7,6,1,6,6,210000,504000,294000,0.8571428571428571,0.8571428571428571,1.4,0.8571428571428571,54000,-30000
de,2026-04-20,2026-04-20,2026-04-26,7,3,4,3,3,210000,252000,42000,0.42857142857142855,0.42857142857142855,0.2,0.42857142857142855,54000,-30000
de,2026-04-27,2026-04-27,2026-05-03,7,7,0,7,7,210000,588000,378000,1,1,1.8,1,54000,54000
de,2026-05-04,2026-05-04,2026-05-10,7,4,3,4,4,210000,336000,126000,0.5714285714285714,0.5714285714285714,0.6,0.5714285714285714,54000,-30000
de,2026-05-11,2026-05-11,2026-05-17,7,4,3,4,4,210000,336000,126000,0.5714285714285714,0.5714285714285714,0.6,0.5714285714285714,54000,-30000
de,2026-05-18,2026-05-18,2026-05-24,7,0,7,0,0,210000,0,-210000,0,0,-1,0,-30000,-30000
de,2026-05-25,2026-05-25,2026-05-31,7,3,4,3,3,210000,252000,42000,0.42857142857142855,0.42857142857142855,0.2,0.42857142857142855,54000,-30000
de,2026-06-01,2026-06-01,2026-06-07,7,6,1,6,6,210000,504000,294000,0.8571428571428571,0.8571428571428571,1.4,0.8571428571428571,54000,-30000
de,2026-06-08,2026-06-08,2026-06-14,7,5,2,5,5,210000,420000,210000,0.7142857142857143,0.7142857142857143,1,0.7142857142857143,54000,-30000
de,2026-06-15,2026-06-15,2026-06-21,7,4,3,4,4,210000,336000,126000,0.5714285714285714,0.5714285714285714,0.6,0.5714285714285714,54000,-30000
de,2026-06-22,2026-06-22,2026-06-28,7,5,2,5,5,210000,420000,210000,0.7142857142857143,0.7142857142857143,1,0.7142857142857143,54000,-30000
