type,date,method,actual,hit,result,betCount,excludedCount,hits,stakeK,payoutK,profitK,betNumbers,excludedNumbers
lo,2026-01-01,chainSmallFirstHold65:twoHitGreedy:top6,17 25 28 31 34 35 38 42 52 53 63 67 68 69 72 76 88 91 96 08 01,1,,6,,3,13800,24000,10200,44 36 72 65 51 17,
lo,2026-01-02,chainSmallFirstHold65:twoHitGreedy:top6,14 22 23 24 28 29 31 36 38 41 48 50 52 53 59 60 67 75 81 83 88 89 92 04,1,,6,,3,13800,24000,10200,55 92 73 17 54 48,
lo,2026-01-03,chainSmallFirstHold65:twoHitGreedy:top6,12 20 31 33 35 46 48 49 50 51 52 54 57 64 70 74 76 83 85 86 92 00 07 01 02,1,,6,,1,13800,8000,-5800,54 73 65 16 44 29,
lo,2026-01-04,chainSmallFirstHold65:twoHitGreedy:top6,25 26 29 32 34 36 39 43 48 51 54 58 59 68 75 76 77 78 82 84 85 97 01 02,1,,6,,2,13800,16000,2200,73 54 28 17 36 65,
lo,2026-01-05,chainSmallFirstHold65:twoHitGreedy:top6,20 24 25 27 38 43 45 47 48 58 60 65 68 69 74 83 84 93 94 05 01 09 08 07,1,,6,,2,13800,16000,2200,54 82 17 73 38 45,
lo,2026-01-06,chainSmallFirstHold65:twoHitGreedy:top6,10 12 18 25 32 33 45 47 50 54 56 57 65 66 68 69 71 73 75 82 97 98 08 01 06,1,,6,,3,13800,24000,10200,54 73 65 72 17 38,
lo,2026-01-07,chainSmallFirstHold65:twoHitGreedy:top6,16 17 19 23 24 27 39 44 45 49 57 64 65 66 67 68 69 76 77 86 88 89 09 05 07,1,,6,,1,13800,8000,-5800,82 63 37 74 16 08,
lo,2026-01-08,chainSmallFirstHold65:twoHitGreedy:top6,13 15 21 22 27 35 37 38 41 43 44 49 51 53 54 62 65 66 68 72 82 88 02,1,,6,,3,13800,24000,10200,37 63 71 92 28 54,
lo,2026-01-09,chainSmallFirstHold65:twoHitGreedy:top6,10 11 12 17 21 23 26 33 36 41 43 46 47 48 52 66 70 78 82 86 87 92 02,0,,6,,0,13800,0,-13800,62 54 83 45 91 38,
lo,2026-01-10,chainSmallFirstHold65:twoHitGreedy:top6,12 13 14 16 21 27 31 43 45 54 58 60 62 70 72 78 83 86 87 93 94 08,1,,6,,2,13800,16000,2200,62 27 74 19 36 05,
lo,2026-01-11,chainSmallFirstHold65:twoHitGreedy:top6,10 13 17 19 25 30 35 36 38 43 47 58 63 67 68 69 70 72 73 95 02 08 00,1,,6,,3,13800,24000,10200,62 73 81 38 46 25,
lo,2026-01-12,chainSmallFirstHold65:twoHitGreedy:top6,14 20 24 31 34 35 38 39 40 42 43 45 52 57 58 63 64 73 82 88 94 95 97 00 01,1,,6,,1,13800,8000,-5800,55 72 26 83 61 38,
lo,2026-01-13,chainSmallFirstHold65:twoHitGreedy:top6,12 14 16 24 25 27 34 35 39 42 52 57 62 63 64 71 73 74 80 82 83 88 99 03 08,1,,6,,4,13800,32000,18200,27 54 61 72 08 83,
lo,2026-01-14,chainSmallFirstHold65:twoHitGreedy:top6,15 17 21 22 32 37 44 45 46 52 53 55 58 78 83 84 87 89 95 99 04 07,1,,6,,1,13800,8000,-5800,37 54 65 70 43 92,
lo,2026-01-15,chainSmallFirstHold65:twoHitGreedy:top6,12 14 16 21 22 26 29 39 44 47 50 56 60 61 68 71 74 76 88 97 99 00,1,,6,,2,13800,16000,2200,27 38 70 71 54 83,
lo,2026-01-16,chainSmallFirstHold65:twoHitGreedy:top6,10 26 28 32 33 40 44 45 46 49 54 56 66 69 71 72 77 79 87 89 91 94 95 99 03,1,,6,,2,13800,16000,2200,36 74 45 82 53 91,
lo,2026-01-17,chainSmallFirstHold65:twoHitGreedy:top6,15 21 24 37 42 43 47 48 54 57 64 68 74 75 81 87 88 89 91 94 96 97 00 01,1,,6,,3,13800,24000,10200,52 63 74 18 37 26,
lo,2026-01-18,chainSmallFirstHold65:twoHitGreedy:top6,10 13 16 17 21 25 29 34 39 51 52 58 60 66 80 83 85 89 93 94 98 03 04,1,,6,,1,13800,8000,-5800,62 27 16 54 73 65,
lo,2026-01-19,chainSmallFirstHold65:twoHitGreedy:top6,11 19 23 24 29 40 45 49 50 51 53 55 73 74 77 80 86 90 93 95 98 02 08 09,1,,6,,3,13800,24000,10200,45 64 72 53 81 38,
lo,2026-01-20,chainSmallFirstHold65:twoHitGreedy:top6,12 16 24 27 28 31 45 48 49 52 56 58 64 70 74 76 78 79 80 89 91 92 09,1,,6,,4,13800,32000,18200,83 16 45 74 37 62,
lo,2026-01-21,chainSmallFirstHold65:twoHitGreedy:top6,21 26 32 35 39 42 44 49 50 54 56 57 58 60 67 73 79 80 86 94 96 98,1,,6,,1,13800,8000,-5800,44 27 65 37 72 91,
lo,2026-01-22,chainSmallFirstHold65:twoHitGreedy:top6,15 18 19 27 39 41 43 44 46 47 51 53 60 63 65 69 70 74 82 87 88 96 99 02 03,1,,6,,2,13800,16000,2200,16 73 27 18 52 45,
lo,2026-01-23,chainSmallFirstHold65:twoHitGreedy:top6,10 12 13 14 15 17 19 22 27 29 44 48 49 60 67 71 73 77 84 86 89 92 04 02,1,,6,,4,13800,32000,18200,26 34 45 92 17 73,
lo,2026-01-24,chainSmallFirstHold65:twoHitGreedy:top6,11 13 22 29 34 36 45 47 49 51 60 61 62 65 66 69 76 83 84 88 96 98 09 00,1,,6,,2,13800,16000,2200,63 36 91 54 19 25,
lo,2026-01-25,chainSmallFirstHold65:twoHitGreedy:top6,19 23 25 30 33 35 36 38 40 44 51 52 60 62 63 71 80 83 86 89 91 97 02,1,,6,,2,13800,16000,2200,72 83 64 53 38 45,
lo,2026-01-26,chainSmallFirstHold65:twoHitGreedy:top6,13 15 17 20 32 39 41 44 56 57 61 62 63 65 66 67 69 74 81 82 85 93 94 05 02,1,,6,,1,13800,8000,-5800,26 43 54 65 72 37,
lo,2026-01-27,chainSmallFirstHold65:twoHitGreedy:top6,10 14 16 19 20 22 29 30 31 33 34 41 43 59 61 62 70 72 80 81 92,1,,6,,1,13800,8000,-5800,27 64 54 43 38 91,
lo,2026-01-28,chainSmallFirstHold65:twoHitGreedy:top6,21 24 28 32 33 37 39 40 47 50 51 57 69 75 76 77 78 79 89 93 94 95 09 02 04 01,1,,6,,1,13800,8000,-5800,54 46 61 83 28 45,
lo,2026-01-29,chainSmallFirstHold65:twoHitGreedy:top6,14 19 26 29 32 35 51 54 60 67 71 75 76 80 81 82 87 90 93 94 95 07 06 00,1,,6,,2,13800,16000,2200,18 71 46 65 54 37,
lo,2026-01-30,chainSmallFirstHold65:twoHitGreedy:top6,15 23 24 33 35 41 43 45 46 48 54 55 68 78 79 80 81 82 85 92 93 94 99 09 05 01 03,1,,6,,2,13800,16000,2200,63 55 36 82 44 71,
lo,2026-01-31,chainSmallFirstHold65:twoHitGreedy:top6,10 13 14 20 22 37 40 44 47 49 51 54 56 58 67 75 76 77 79 81 82 85 05 07,1,,6,,1,13800,8000,-5800,54 26 73 38 61 17,
lo,2026-02-01,chainSmallFirstHold65:twoHitGreedy:top6,27 31 38 47 54 58 59 60 61 63 73 77 87 89 90 94 99 03 01 05 07,1,,6,,3,13800,24000,10200,54 37 61 08 72 19,
lo,2026-02-02,chainSmallFirstHold65:twoHitGreedy:top6,12 15 17 23 28 39 45 54 55 58 59 61 62 74 76 81 82 83 85 91 96 98 02 07 06,1,,6,,3,13800,24000,10200,26 37 74 63 45 82,
lo,2026-02-03,chainSmallFirstHold65:twoHitGreedy:top6,22 23 24 28 40 41 43 47 48 52 55 56 67 72 75 76 81 90 97 98 08 01,1,,6,,1,13800,8000,-5800,46 35 54 43 82 27,
lo,2026-02-04,chainSmallFirstHold65:twoHitGreedy:top6,10 15 17 20 25 30 32 34 39 42 44 48 49 58 59 60 65 69 70 71 73 82 88 90 91 99,1,,6,,4,13800,32000,18200,36 73 44 65 82 27,
lo,2026-02-05,chainSmallFirstHold65:twoHitGreedy:top6,10 14 23 29 33 40 41 42 48 56 57 58 61 64 65 68 73 79 86 87 94 97 09 07 02,1,,6,,2,13800,16000,2200,18 73 36 44 07 55,
lo,2026-02-06,chainSmallFirstHold65:twoHitGreedy:top6,18 20 23 25 26 27 33 38 42 43 46 50 56 57 58 61 62 66 77 78 79 81 91 92 97 09 05,1,,6,,3,13800,24000,10200,26 72 61 17 38 55,
lo,2026-02-07,chainSmallFirstHold65:twoHitGreedy:top6,16 17 18 19 23 33 34 41 43 49 50 51 60 62 64 68 70 77 80 82 85 91 92 94 09,1,,6,,2,13800,16000,2200,54 38 73 25 62 91,
lo,2026-02-08,chainSmallFirstHold65:twoHitGreedy:top6,10 11 12 13 17 21 32 34 35 36 38 45 49 61 67 77 89 91 95 00 09 03 04,1,,6,,2,13800,16000,2200,54 73 45 62 23 36,
lo,2026-02-09,chainSmallFirstHold65:twoHitGreedy:top6,12 14 15 25 29 30 34 42 46 47 55 56 63 67 69 73 76 77 87 89 91 95 96 98 01 00,1,,6,,3,13800,24000,10200,74 53 25 82 17 63,
lo,2026-02-10,chainSmallFirstHold65:twoHitGreedy:top6,14 19 23 32 39 53 55 59 61 63 67 68 77 78 85 87 90 91 98 99 02 04 03,1,,6,,2,13800,16000,2200,61 36 82 53 27 74,
lo,2026-02-11,chainSmallFirstHold65:twoHitGreedy:top6,21 32 37 38 39 41 43 45 47 48 57 64 66 73 88 89 90 92 93 98 02 09,0,,6,,0,13800,0,-13800,18 62 55 27 71 83,
lo,2026-02-12,chainSmallFirstHold65:twoHitGreedy:top6,10 16 20 23 29 32 41 46 50 53 57 59 63 72 73 75 81 90 94 08 07,1,,6,,3,13800,24000,10200,44 82 27 73 16 35,
lo,2026-02-13,chainSmallFirstHold65:twoHitGreedy:top6,10 11 17 19 21 26 55 59 61 63 72 73 75 76 77 83 88 90 98 01 03 07 02 09,1,,6,,1,13800,8000,-5800,45 63 34 56 80 47,
lo,2026-02-14,chainSmallFirstHold65:twoHitGreedy:top6,13 15 18 22 27 30 34 35 37 40 54 55 57 60 68 80 81 86 89 91 04 07 03 09,1,,6,,3,13800,24000,10200,35 47 80 73 56 18,
lo,2026-02-15,chainSmallFirstHold65:twoHitGreedy:top6,11 16 33 34 35 41 45 51 54 59 60 62 64 65 67 77 79 81 82 84 85 88 01 03,1,,6,,3,13800,24000,10200,53 72 34 46 65 27,
lo,2026-02-20,chainSmallFirstHold65:twoHitGreedy:top6,13 16 25 36 37 41 42 50 58 63 64 66 74 75 77 80 81 83 86 89 90 92 93 09,1,,6,,2,13800,16000,2200,25 72 53 34 47 28,
lo,2026-02-21,chainSmallFirstHold65:twoHitGreedy:top6,12 13 14 31 36 41 43 44 45 46 47 62 64 74 77 81 82 87 91 96 97 08 09 00,1,,6,,1,13800,8000,-5800,54 35 27 16 65 41,
lo,2026-02-22,chainSmallFirstHold65:twoHitGreedy:top6,12 14 16 17 26 30 33 48 55 57 73 85 87 88 90 92 95 01 04 05 09 08 03,0,,6,,0,13800,0,-13800,54 62 71 43 28 39,
lo,2026-02-23,chainSmallFirstHold65:twoHitGreedy:top6,15 16 19 22 26 29 32 35 42 43 45 54 55 57 62 68 69 74 83 92 96 99 05 02 01 00,1,,6,,5,13800,40000,26200,43 62 35 54 73 16,
lo,2026-02-24,chainSmallFirstHold65:twoHitGreedy:top6,10 13 15 22 23 28 30 36 37 42 44 46 49 52 54 69 71 78 80 85 89 94 95 97 04,1,,6,,2,13800,16000,2200,54 73 62 38 43 85,
lo,2026-02-25,chainSmallFirstHold65:twoHitGreedy:top6,10 13 16 18 22 24 30 31 35 44 48 49 50 52 53 54 59 63 66 67 84 90 96 01 02,1,,6,,2,13800,16000,2200,72 91 83 18 61 44,
lo,2026-02-26,chainSmallFirstHold65:twoHitGreedy:top6,28 30 33 41 50 51 52 53 56 58 60 65 67 73 94 96 98 99 08 01 09,0,,6,,0,13800,0,-13800,72 25 64 80 37 43,
lo,2026-02-27,chainSmallFirstHold65:twoHitGreedy:top6,12 13 16 22 30 31 33 38 39 40 42 44 45 47 53 54 57 81 83 94 97 07 08,1,,6,,2,13800,16000,2200,47 64 81 26 72 43,
lo,2026-02-28,chainSmallFirstHold65:twoHitGreedy:top6,16 17 24 26 27 35 38 41 45 47 59 62 64 65 68 72 77 82 86 91 93 94 95 97 07 09,1,,6,,1,13800,8000,-5800,37 16 73 54 25 81,
lo,2026-03-01,chainSmallFirstHold65:twoHitGreedy:top6,16 27 38 40 47 48 51 56 57 60 61 65 72 73 75 77 82 90 91 92 03 06 02,1,,6,,2,13800,16000,2200,54 72 65 26 19 43,
lo,2026-03-02,chainSmallFirstHold65:twoHitGreedy:top6,17 20 24 30 35 41 45 49 57 61 73 79 81 83 90 96 97 98 04 05 03 07 08 00,1,,6,,4,13800,32000,18200,64 45 19 36 73 52,
lo,2026-03-03,chainSmallFirstHold65:twoHitGreedy:top6,10 11 18 20 21 36 37 38 40 41 47 48 50 59 69 71 77 78 79 84 89 00 08,1,,6,,2,13800,16000,2200,37 45 56 64 17 73,
lo,2026-03-04,chainSmallFirstHold65:twoHitGreedy:top6,13 15 19 26 31 35 37 39 41 42 45 50 51 58 60 62 67 72 73 91 92 95 02 09 05,1,,6,,1,13800,8000,-5800,61 18 65 71 54 37,
lo,2026-03-05,chainSmallFirstHold65:twoHitGreedy:top6,14 22 25 30 31 32 40 57 59 61 63 68 70 71 74 79 82 85 92 94 99 02 09 08,1,,6,,1,13800,8000,-5800,54 65 72 43 27 08,
lo,2026-03-06,chainSmallFirstHold65:twoHitGreedy:top6,10 11 14 32 40 44 45 46 49 50 51 54 58 65 66 71 78 79 81 85 88 92 94 01,1,,6,,1,13800,8000,-5800,56 45 82 34 61 27,
lo,2026-03-07,chainSmallFirstHold65:twoHitGreedy:top6,12 15 20 21 23 28 31 32 43 46 51 63 64 68 69 73 78 83 91 95 96 97 99 03,1,,6,,3,13800,24000,10200,17 64 36 43 71 82,
lo,2026-03-08,chainSmallFirstHold65:twoHitGreedy:top6,19 24 27 29 35 36 38 42 47 52 53 62 65 74 75 83 84 87 88 89 91 98 05,1,,6,,4,13800,32000,18200,27 16 83 44 72 35,
lo,2026-03-09,chainSmallFirstHold65:twoHitGreedy:top6,14 16 18 20 27 33 35 36 38 40 41 52 53 63 65 80 84 87 92 98 06 01 04,1,,6,,2,13800,16000,2200,27 62 43 91 54 35,
lo,2026-03-10,chainSmallFirstHold65:twoHitGreedy:top6,10 27 28 37 42 43 50 51 55 56 58 60 62 77 78 79 84 90 91 95 99 02 09,1,,6,,1,13800,8000,-5800,45 56 72 61 83 44,
lo,2026-03-11,chainSmallFirstHold65:twoHitGreedy:top6,18 28 31 36 43 47 50 51 56 64 68 69 70 71 79 80 83 89 96 97 98 05 08 09,1,,6,,2,13800,16000,2200,27 74 35 56 43 19,
lo,2026-03-12,chainSmallFirstHold65:twoHitGreedy:top6,10 17 24 27 30 32 37 38 41 45 46 56 59 64 66 70 90 91 93 96 09 04 06 07 08,1,,6,,2,13800,16000,2200,37 56 83 54 25 62,
lo,2026-03-13,chainSmallFirstHold65:twoHitGreedy:top6,10 12 15 21 26 30 33 37 40 42 56 59 64 65 68 75 77 87 88 89 90 07 03 00,0,,6,,0,13800,0,-13800,44 83 36 55 72 61,
lo,2026-03-14,chainSmallFirstHold65:twoHitGreedy:top6,14 21 23 27 28 31 36 38 41 44 47 48 52 55 68 78 83 86 87 91 92 94 96 03 05 00,1,,6,,2,13800,16000,2200,61 72 83 44 37 16,
lo,2026-03-15,chainSmallFirstHold65:twoHitGreedy:top6,13 18 20 22 35 38 42 44 52 57 59 61 68 69 70 76 80 84 85 91 96 97 98 07 01 03,1,,6,,1,13800,8000,-5800,55 62 83 16 27 44,
lo,2026-03-16,chainSmallFirstHold65:twoHitGreedy:top6,26 28 30 33 34 35 39 46 47 50 51 52 56 57 58 64 74 77 84 87 88 95 96 03,1,,6,,2,13800,16000,2200,72 26 73 34 65 17,
lo,2026-03-17,chainSmallFirstHold65:twoHitGreedy:top6,10 15 21 22 27 30 35 39 52 54 62 63 66 69 72 75 86 90 93 97 99 01,1,,6,,4,13800,32000,18200,54 37 26 61 72 15,
lo,2026-03-18,chainSmallFirstHold65:twoHitGreedy:top6,16 24 25 29 30 33 57 60 63 64 66 70 72 74 75 80 81 85 87 91 95 98 99 08,1,,6,,1,13800,8000,-5800,26 73 27 34 82 16,
lo,2026-03-19,chainSmallFirstHold65:twoHitGreedy:top6,11 12 15 22 23 25 39 41 50 52 56 58 60 63 73 77 81 91 93 94 95 97 06,0,,6,,0,13800,0,-13800,45 17 28 54 71 92,
lo,2026-03-20,chainSmallFirstHold65:twoHitGreedy:top6,14 15 16 17 24 27 32 36 44 46 57 62 64 78 80 81 83 88 90 91 93 00 02 01 09,1,,6,,4,13800,32000,18200,37 53 18 46 24 62,
lo,2026-03-21,chainSmallFirstHold65:twoHitGreedy:top6,11 14 16 19 26 28 29 34 40 43 48 51 52 60 67 68 70 84 88 92 94 97 99 07 05,1,,6,,1,13800,8000,-5800,54 45 62 36 28 17,
lo,2026-03-22,chainSmallFirstHold65:twoHitGreedy:top6,11 13 16 18 21 24 33 38 39 43 46 49 52 54 61 62 65 73 80 82 90 91 97 04 06,1,,6,,2,13800,16000,2200,54 63 35 74 82 47,
lo,2026-03-23,chainSmallFirstHold65:twoHitGreedy:top6,14 16 18 25 28 29 30 31 44 52 54 57 59 69 77 81 89 90 92 09 02,1,,6,,3,13800,24000,10200,54 73 35 52 46 27,
lo,2026-03-24,chainSmallFirstHold65:twoHitGreedy:top6,13 20 21 23 24 29 31 36 40 45 47 62 63 64 70 73 75 80 81 90 91 96 99 09 02 07,1,,6,,2,13800,16000,2200,54 37 83 45 62 71,
lo,2026-03-25,chainSmallFirstHold65:twoHitGreedy:top6,11 12 13 20 21 24 28 32 33 44 51 56 60 61 66 68 74 76 82 87 88 90 95 07 00,1,,6,,2,13800,16000,2200,44 55 83 16 60 72,
lo,2026-03-26,chainSmallFirstHold65:twoHitGreedy:top6,10 11 14 18 27 28 36 49 51 52 62 66 75 82 85 87 92 93 94 95 96 99 02,1,,6,,5,13800,40000,26200,36 71 82 47 53 28,
lo,2026-03-27,chainSmallFirstHold65:twoHitGreedy:top6,10 14 16 18 20 21 24 25 30 32 33 38 49 57 65 74 76 80 84 86 91 96 05 04,0,,6,,0,13800,0,-13800,45 56 72 64 17 36,
lo,2026-03-28,chainSmallFirstHold65:twoHitGreedy:top6,11 18 22 25 27 34 38 40 42 43 55 58 61 64 69 76 83 85 88 91 94 97 09 04,1,,6,,1,13800,8000,-5800,45 72 53 61 28 44,
lo,2026-03-29,chainSmallFirstHold65:twoHitGreedy:top6,11 13 17 30 31 34 49 51 57 58 64 67 70 73 75 76 81 86 87 88 95 05 06,1,,6,,1,13800,8000,-5800,35 73 54 80 27 46,
lo,2026-03-30,chainSmallFirstHold65:twoHitGreedy:top6,11 13 19 20 23 27 28 31 33 34 38 40 46 61 62 64 65 72 76 77 92 01 03 07,1,,6,,1,13800,8000,-5800,17 54 82 43 26 65,
lo,2026-03-31,chainSmallFirstHold65:twoHitGreedy:top6,13 16 18 20 23 26 30 31 42 45 47 48 49 56 67 70 74 77 78 79 80 91 03 08 05 00,1,,6,,4,13800,32000,18200,45 54 26 83 62 91,
lo,2026-04-01,chainSmallFirstHold65:twoHitGreedy:top6,11 16 17 20 21 28 37 38 51 52 55 58 66 74 76 79 90 08 02 09,1,,6,,1,13800,8000,-5800,54 83 65 26 37 48,
lo,2026-04-02,chainSmallFirstHold65:twoHitGreedy:top6,11 14 17 21 29 31 32 34 39 40 44 50 59 62 65 67 78 83 84 89 90 93 95 98 06,1,,6,,3,13800,24000,10200,45 62 55 34 83 72,
lo,2026-04-03,chainSmallFirstHold65:twoHitGreedy:top6,15 24 29 36 42 44 52 54 55 58 60 61 75 76 80 86 87 91 94 97 98 04 09,1,,6,,2,13800,16000,2200,63 44 72 35 56 27,
