Week,ActiveDays,TotalDays,BetProfitK,BetWinRate,HoldProfitK,HoldWinRate,CombinedProfitK
2023-W34,5,5,-616,20.00,-612,20.00,-1228
2023-W35,7,7,187,71.43,189,71.43,376
2023-W36,7,7,-590,28.57,-590,28.57,-1180
2023-W37,7,7,-270,42.86,-270,42.86,-540
2023-W38,7,7,-430,42.86,-430,42.86,-860
2023-W39,7,7,-613,28.57,-611,28.57,-1224
2023-W40,7,7,-830,28.57,-830,28.57,-1660
2023-W41,7,7,-76,28.57,-72,28.57,-148
2023-W42,7,7,-53,42.86,-51,42.86,-104
2023-W43,7,7,-670,14.29,-670,14.29,-1340
2023-W44,7,7,50,42.86,50,42.86,100
2023-W45,7,7,-750,28.57,-750,28.57,-1500
2023-W46,7,7,-453,28.57,-451,28.57,-904
2023-W47,7,7,507,85.71,509,85.71,1016
2023-W48,7,7,-30,42.86,-30,42.86,-60
2023-W49,7,7,-293,42.86,-291,42.86,-584
2023-W50,7,7,587,71.43,589,71.43,1176
2023-W51,7,7,-853,28.57,-851,28.57,-1704
2023-W52,7,7,-236,28.57,-232,28.57,-468
2024-W01,7,7,850,71.43,850,71.43,1700
2024-W02,7,7,1410,85.71,1410,85.71,2820
2024-W03,7,7,-30,71.43,-30,71.43,-60
2024-W04,7,7,-350,42.86,-350,42.86,-700
2024-W05,7,7,-670,42.86,-670,42.86,-1340
2024-W06,4,4,120,75.00,120,75.00,240
2024-W07,6,6,-1090,0.00,-1070,0.00,-2160
2024-W08,7,7,-933,42.86,-931,42.86,-1864
2024-W09,7,7,-270,42.86,-270,42.86,-540
2024-W10,7,7,-830,28.57,-830,28.57,-1660
2024-W11,7,7,690,71.43,690,71.43,1380
2024-W12,7,7,130,71.43,130,71.43,260
2024-W13,7,7,164,57.14,168,57.14,332
2024-W14,7,7,-590,28.57,-590,28.57,-1180
2024-W15,7,7,610,71.43,610,71.43,1220
2024-W16,7,7,-590,28.57,-590,28.57,-1180
2024-W17,7,7,-53,42.86,-51,42.86,-104
2024-W18,7,7,-1413,14.29,-1411,14.29,-2824
2024-W19,7,7,-53,71.43,-51,71.43,-104
2024-W20,7,7,-1196,28.57,-1192,28.57,-2388
2024-W21,7,7,-1333,14.29,-1331,14.29,-2664
2024-W22,7,7,27,42.86,29,42.86,56
2024-W23,7,7,450,71.43,450,71.43,900
2024-W24,7,7,-430,42.86,-430,42.86,-860
2024-W25,7,7,-213,42.86,-211,42.86,-424
2024-W26,7,7,4,57.14,8,57.14,12
2024-W27,7,7,-853,14.29,-851,14.29,-1704
2024-W28,7,7,-670,28.57,-670,28.57,-1340
2024-W29,7,7,-190,42.86,-190,42.86,-380
2024-W30,7,7,-156,42.86,-152,42.86,-308
2024-W31,7,7,-270,42.86,-270,42.86,-540
2024-W32,7,7,-373,28.57,-371,28.57,-744
2024-W33,7,7,-933,28.57,-931,28.57,-1864
2024-W34,7,7,221,85.71,227,85.71,448
2024-W35,7,7,-350,57.14,-350,57.14,-700
2024-W36,7,7,-430,42.86,-430,42.86,-860
2024-W37,7,7,690,71.43,690,71.43,1380
2024-W38,7,7,-1093,14.29,-1091,14.29,-2184
2024-W39,7,7,-133,42.86,-131,42.86,-264
2024-W40,7,7,-373,28.57,-371,28.57,-744
2024-W41,7,7,187,71.43,189,71.43,376
2024-W42,7,7,4,42.86,8,42.86,12
2024-W43,7,7,210,42.86,210,42.86,420
2024-W44,7,7,50,28.57,50,28.57,100
2024-W45,7,7,770,57.14,770,57.14,1540
2024-W46,7,7,-53,42.86,-51,42.86,-104
2024-W47,7,7,-316,28.57,-312,28.57,-628
2024-W48,7,7,347,57.14,349,57.14,696
2024-W49,7,7,427,71.43,429,71.43,856
2024-W50,7,7,347,71.43,349,71.43,696
2024-W51,7,7,-350,42.86,-350,42.86,-700
2024-W52,7,7,-190,42.86,-190,42.86,-380
2025-W01,7,7,-533,28.57,-531,28.57,-1064
2025-W02,7,7,-373,28.57,-371,28.57,-744
2025-W03,7,7,-350,28.57,-350,28.57,-700
2025-W04,7,7,530,57.14,530,57.14,1060
2025-W05,3,3,-49,33.33,-23,33.33,-72
2025-W06,7,7,987,85.71,989,85.71,1976
2025-W07,7,7,-1173,28.57,-1171,28.57,-2344
2025-W08,7,7,-293,42.86,-291,42.86,-584
2025-W09,7,7,450,85.71,450,85.71,900
2025-W10,7,7,907,71.43,909,71.43,1816
2025-W11,7,7,290,57.14,290,57.14,580
2025-W12,7,7,-30,57.14,-30,57.14,-60
2025-W13,7,7,221,42.86,227,42.86,448
2025-W14,7,7,-590,28.57,-590,28.57,-1180
2025-W15,7,7,-853,42.86,-851,42.86,-1704
2025-W16,7,7,-53,42.86,-51,42.86,-104
2025-W17,7,7,667,85.71,669,85.71,1336
2025-W18,7,7,1227,85.71,1229,85.71,2456
2025-W19,7,7,-773,28.57,-771,28.57,-1544
2025-W20,7,7,-773,14.29,-771,14.29,-1544
2025-W21,7,7,-110,57.14,-110,57.14,-220
2025-W22,7,7,-76,57.14,-72,57.14,-148
2025-W23,7,7,-910,14.29,-910,14.29,-1820
2025-W24,7,7,107,71.43,109,71.43,216
2025-W25,7,7,-110,42.86,-110,42.86,-220
2025-W26,7,7,-750,28.57,-750,28.57,-1500
2025-W27,7,7,-590,28.57,-590,28.57,-1180
2025-W28,7,7,-453,42.86,-451,42.86,-904
2025-W29,7,7,210,57.14,210,57.14,420
2025-W30,7,7,130,71.43,130,71.43,260
2025-W31,7,7,-910,14.29,-910,14.29,-1820
2025-W32,7,7,-30,42.86,-30,42.86,-60
2025-W33,7,7,-1379,14.29,-1373,14.29,-2752
2025-W34,7,7,-110,71.43,-110,71.43,-220
2025-W35,7,7,-156,57.14,-152,57.14,-308
2025-W36,7,7,50,42.86,50,42.86,100
2025-W37,7,7,-796,28.57,-792,28.57,-1588
2025-W38,7,7,-190,42.86,-190,42.86,-380
2025-W39,7,7,690,85.71,690,85.71,1380
2025-W40,7,7,-293,57.14,-291,57.14,-584
2025-W41,7,7,-830,28.57,-830,28.57,-1660
2025-W42,7,7,-270,42.86,-270,42.86,-540
2025-W43,7,7,-750,14.29,-750,14.29,-1500
2025-W44,7,7,450,57.14,450,57.14,900
2025-W45,7,7,-590,14.29,-590,14.29,-1180
2025-W46,7,7,-373,42.86,-371,42.86,-744
2025-W47,7,7,-373,42.86,-371,42.86,-744
2025-W48,7,7,770,85.71,770,85.71,1540
2025-W49,7,7,484,57.14,488,57.14,972
2025-W50,7,7,530,71.43,530,71.43,1060
2025-W51,7,7,-1973,0.00,-1971,0.00,-3944
2025-W52,7,7,-1230,28.57,-1230,28.57,-2460
2026-W01,7,7,-190,42.86,-190,42.86,-380
2026-W02,7,7,667,71.43,669,71.43,1336
2026-W03,7,7,-316,42.86,-312,42.86,-628
2026-W04,7,7,-1333,28.57,-1331,28.57,-2664
2026-W05,7,7,-430,28.57,-430,28.57,-860
2026-W06,7,7,130,57.14,130,57.14,260
2026-W07,7,7,-693,28.57,-691,28.57,-1384
2026-W08,2,3,-147,50.00,-129,50.00,-276
2026-W09,7,7,-693,28.57,-691,28.57,-1384
2026-W10,7,7,-30,71.43,-30,71.43,-60
2026-W11,7,7,27,42.86,29,42.86,56
2026-W12,7,7,530,57.14,530,57.14,1060
2026-W13,7,7,-270,28.57,-270,28.57,-540
2026-W14,7,7,-830,14.29,-830,14.29,-1660
2026-W15,7,7,-750,28.57,-750,28.57,-1500
2026-W16,7,7,290,85.71,290,85.71,580
2026-W17,7,7,-590,28.57,-590,28.57,-1180
2026-W18,7,7,-510,42.86,-510,42.86,-1020
2026-W19,7,7,-453,14.29,-451,14.29,-904
2026-W20,7,7,290,57.14,290,57.14,580
2026-W21,7,7,-30,42.86,-30,42.86,-60
2026-W22,5,6,-890,20.00,-890,20.00,-1780
