Week,StartDate,EndDate,PlayedDays,Wins,Losses,WinRate,BetStake,BetPayout,BetProfit,HoldIncome,HoldLoss,HoldProfit,CombinedProfit
2006-W07,2006-02-18,2006-02-19,2,0,2,0.0%,160,0,-160,1270,1400,-130,-290
2006-W08,2006-02-20,2006-02-26,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2006-W09,2006-02-27,2006-03-05,7,1,6,14.3%,560,700,140,4445,4200,245,385
2006-W10,2006-03-06,2006-03-12,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2006-W11,2006-03-13,2006-03-19,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2006-W12,2006-03-20,2006-03-26,7,1,6,14.3%,560,700,140,4445,4200,245,385
2006-W13,2006-03-27,2006-04-02,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2006-W14,2006-04-03,2006-04-09,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2006-W15,2006-04-10,2006-04-16,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2006-W16,2006-04-17,2006-04-23,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2006-W17,2006-04-24,2006-04-30,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2006-W18,2006-05-01,2006-05-07,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2006-W19,2006-05-08,2006-05-14,7,1,6,14.3%,560,700,140,4445,4200,245,385
2006-W20,2006-05-15,2006-05-21,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2006-W21,2006-05-22,2006-05-28,7,1,6,14.3%,560,700,140,4445,4200,245,385
2006-W22,2006-05-29,2006-06-04,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2006-W23,2006-06-05,2006-06-11,7,3,4,42.9%,560,2100,1540,4445,2800,1645,3185
2006-W24,2006-06-12,2006-06-18,7,3,4,42.9%,560,2100,1540,4445,2800,1645,3185
2006-W25,2006-06-19,2006-06-25,7,4,3,57.1%,560,2800,2240,4445,2100,2345,4585
2006-W26,2006-06-26,2006-07-02,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2006-W27,2006-07-03,2006-07-09,7,1,6,14.3%,560,700,140,4445,4200,245,385
2006-W28,2006-07-10,2006-07-16,7,1,6,14.3%,560,700,140,4445,4200,245,385
2006-W29,2006-07-17,2006-07-23,7,1,6,14.3%,560,700,140,4445,4200,245,385
2006-W30,2006-07-24,2006-07-30,7,1,6,14.3%,560,700,140,4445,4200,245,385
2006-W31,2006-07-31,2006-08-06,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2006-W32,2006-08-07,2006-08-13,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2006-W33,2006-08-14,2006-08-20,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2006-W34,2006-08-21,2006-08-27,7,1,6,14.3%,560,700,140,4445,4200,245,385
2006-W35,2006-08-28,2006-09-03,7,1,6,14.3%,560,700,140,4445,4200,245,385
2006-W36,2006-09-04,2006-09-10,7,3,4,42.9%,560,2100,1540,4445,2800,1645,3185
2006-W37,2006-09-11,2006-09-17,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2006-W38,2006-09-18,2006-09-24,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2006-W39,2006-09-25,2006-10-01,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2006-W40,2006-10-02,2006-10-08,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2006-W41,2006-10-09,2006-10-15,7,1,6,14.3%,560,700,140,4445,4200,245,385
2006-W42,2006-10-16,2006-10-22,7,1,6,14.3%,560,700,140,4445,4200,245,385
2006-W43,2006-10-23,2006-10-29,7,1,6,14.3%,560,700,140,4445,4200,245,385
2006-W44,2006-10-30,2006-11-05,7,1,6,14.3%,560,700,140,4445,4200,245,385
2006-W45,2006-11-06,2006-11-12,7,3,4,42.9%,560,2100,1540,4445,2800,1645,3185
2006-W46,2006-11-13,2006-11-19,7,1,6,14.3%,560,700,140,4445,4200,245,385
2006-W47,2006-11-20,2006-11-26,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2006-W48,2006-11-27,2006-12-03,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2006-W49,2006-12-04,2006-12-10,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2006-W50,2006-12-11,2006-12-17,7,1,6,14.3%,560,700,140,4445,4200,245,385
2006-W51,2006-12-18,2006-12-24,7,1,6,14.3%,560,700,140,4445,4200,245,385
2006-W52,2006-12-25,2006-12-31,7,0,7,0.0%,568,0,-568,4437,4900,-463,-1031
2007-W01,2007-01-01,2007-01-07,7,1,6,14.3%,560,700,140,4445,4200,245,385
2007-W02,2007-01-08,2007-01-14,7,1,6,14.3%,560,700,140,4445,4200,245,385
2007-W03,2007-01-15,2007-01-21,7,1,6,14.3%,560,700,140,4445,4200,245,385
2007-W04,2007-01-22,2007-01-28,7,1,6,14.3%,560,700,140,4445,4200,245,385
2007-W05,2007-01-29,2007-02-04,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2007-W06,2007-02-05,2007-02-11,7,1,6,14.3%,560,700,140,4445,4200,245,385
2007-W07,2007-02-12,2007-02-18,5,0,5,0.0%,616,0,-616,2984,3500,-516,-1132
2007-W08,2007-02-19,2007-02-25,7,2,5,28.6%,920,1400,480,4127,3500,627,1107
2007-W09,2007-02-26,2007-03-04,7,1,6,14.3%,560,700,140,4445,4200,245,385
2007-W10,2007-03-05,2007-03-11,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2007-W11,2007-03-12,2007-03-18,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2007-W12,2007-03-19,2007-03-25,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2007-W13,2007-03-26,2007-04-01,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2007-W14,2007-04-02,2007-04-08,7,5,2,71.4%,560,3500,2940,4445,1400,3045,5985
2007-W15,2007-04-09,2007-04-15,7,4,3,57.1%,560,2800,2240,4445,2100,2345,4585
2007-W16,2007-04-16,2007-04-22,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2007-W17,2007-04-23,2007-04-29,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2007-W18,2007-04-30,2007-05-06,7,3,4,42.9%,560,2100,1540,4445,2800,1645,3185
2007-W19,2007-05-07,2007-05-13,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2007-W20,2007-05-14,2007-05-20,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2007-W21,2007-05-21,2007-05-27,7,1,6,14.3%,560,700,140,4445,4200,245,385
2007-W22,2007-05-28,2007-06-03,7,1,6,14.3%,560,700,140,4445,4200,245,385
2007-W23,2007-06-04,2007-06-10,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2007-W24,2007-06-11,2007-06-17,7,1,6,14.3%,560,700,140,4445,4200,245,385
2007-W25,2007-06-18,2007-06-24,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2007-W26,2007-06-25,2007-07-01,7,1,6,14.3%,560,700,140,4445,4200,245,385
2007-W27,2007-07-02,2007-07-08,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2007-W28,2007-07-09,2007-07-15,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2007-W29,2007-07-16,2007-07-22,7,1,6,14.3%,560,700,140,4445,4200,245,385
2007-W30,2007-07-23,2007-07-29,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2007-W31,2007-07-30,2007-08-05,7,3,4,42.9%,560,2100,1540,4445,2800,1645,3185
2007-W32,2007-08-06,2007-08-12,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2007-W33,2007-08-13,2007-08-19,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2007-W34,2007-08-20,2007-08-26,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2007-W35,2007-08-27,2007-09-02,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2007-W36,2007-09-03,2007-09-09,7,4,3,57.1%,560,2800,2240,4445,2100,2345,4585
2007-W37,2007-09-10,2007-09-16,7,1,6,14.3%,560,700,140,4445,4200,245,385
2007-W38,2007-09-17,2007-09-23,7,1,6,14.3%,560,700,140,4445,4200,245,385
2007-W39,2007-09-24,2007-09-30,7,1,6,14.3%,560,700,140,4445,4200,245,385
2007-W40,2007-10-01,2007-10-07,7,1,6,14.3%,560,700,140,4445,4200,245,385
2007-W41,2007-10-08,2007-10-14,7,3,4,42.9%,560,2100,1540,4445,2800,1645,3185
2007-W42,2007-10-15,2007-10-21,7,1,6,14.3%,560,700,140,4445,4200,245,385
2007-W43,2007-10-22,2007-10-28,7,3,4,42.9%,560,2100,1540,4445,2800,1645,3185
2007-W44,2007-10-29,2007-11-04,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2007-W45,2007-11-05,2007-11-11,7,1,6,14.3%,560,700,140,4445,4200,245,385
2007-W46,2007-11-12,2007-11-18,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2007-W47,2007-11-19,2007-11-25,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2007-W48,2007-11-26,2007-12-02,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2007-W49,2007-12-03,2007-12-09,7,3,4,42.9%,560,2100,1540,4445,2800,1645,3185
2007-W50,2007-12-10,2007-12-16,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2007-W51,2007-12-17,2007-12-23,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2007-W52,2007-12-24,2007-12-30,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2008-W01,2007-12-31,2008-01-06,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2008-W02,2008-01-07,2008-01-13,7,1,6,14.3%,560,700,140,4445,4200,245,385
2008-W03,2008-01-14,2008-01-20,7,1,6,14.3%,560,700,140,4445,4200,245,385
2008-W04,2008-01-21,2008-01-27,7,3,4,42.9%,560,2100,1540,4445,2800,1645,3185
2008-W05,2008-01-28,2008-02-03,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2008-W06,2008-02-04,2008-02-10,5,2,3,40.0%,888,1400,512,2744,2100,644,1156
2008-W07,2008-02-11,2008-02-17,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2008-W08,2008-02-18,2008-02-24,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2008-W09,2008-02-25,2008-03-02,7,1,6,14.3%,560,700,140,4445,4200,245,385
2008-W10,2008-03-03,2008-03-09,7,1,6,14.3%,560,700,140,4445,4200,245,385
2008-W11,2008-03-10,2008-03-16,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2008-W12,2008-03-17,2008-03-23,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2008-W13,2008-03-24,2008-03-30,7,1,6,14.3%,560,700,140,4445,4200,245,385
2008-W14,2008-03-31,2008-04-06,7,1,6,14.3%,560,700,140,4445,4200,245,385
2008-W15,2008-04-07,2008-04-13,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2008-W16,2008-04-14,2008-04-20,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2008-W17,2008-04-21,2008-04-27,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2008-W18,2008-04-28,2008-05-04,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2008-W19,2008-05-05,2008-05-11,7,1,6,14.3%,560,700,140,4445,4200,245,385
2008-W20,2008-05-12,2008-05-18,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2008-W21,2008-05-19,2008-05-25,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2008-W22,2008-05-26,2008-06-01,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2008-W23,2008-06-02,2008-06-08,7,1,6,14.3%,560,700,140,4445,4200,245,385
2008-W24,2008-06-09,2008-06-15,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2008-W25,2008-06-16,2008-06-22,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2008-W26,2008-06-23,2008-06-29,7,1,6,14.3%,560,700,140,4445,4200,245,385
2008-W27,2008-06-30,2008-07-06,7,1,6,14.3%,560,700,140,4445,4200,245,385
2008-W28,2008-07-07,2008-07-13,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2008-W29,2008-07-14,2008-07-20,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2008-W30,2008-07-21,2008-07-27,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2008-W31,2008-07-28,2008-08-03,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2008-W32,2008-08-04,2008-08-10,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2008-W33,2008-08-11,2008-08-17,7,1,6,14.3%,560,700,140,4445,4200,245,385
2008-W34,2008-08-18,2008-08-24,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2008-W35,2008-08-25,2008-08-31,7,3,4,42.9%,560,2100,1540,4445,2800,1645,3185
2008-W36,2008-09-01,2008-09-07,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2008-W37,2008-09-08,2008-09-14,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2008-W38,2008-09-15,2008-09-21,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2008-W39,2008-09-22,2008-09-28,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2008-W40,2008-09-29,2008-10-05,7,1,6,14.3%,560,700,140,4445,4200,245,385
2008-W41,2008-10-06,2008-10-12,7,1,6,14.3%,560,700,140,4445,4200,245,385
2008-W42,2008-10-13,2008-10-19,7,1,6,14.3%,560,700,140,4445,4200,245,385
2008-W43,2008-10-20,2008-10-26,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2008-W44,2008-10-27,2008-11-02,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2008-W45,2008-11-03,2008-11-09,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2008-W46,2008-11-10,2008-11-16,7,1,6,14.3%,560,700,140,4445,4200,245,385
2008-W47,2008-11-17,2008-11-23,7,1,6,14.3%,560,700,140,4445,4200,245,385
2008-W48,2008-11-24,2008-11-30,7,1,6,14.3%,560,700,140,4445,4200,245,385
2008-W49,2008-12-01,2008-12-07,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2008-W50,2008-12-08,2008-12-14,7,4,3,57.1%,560,2800,2240,4445,2100,2345,4585
2008-W51,2008-12-15,2008-12-21,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2008-W52,2008-12-22,2008-12-28,7,3,4,42.9%,560,2100,1540,4445,2800,1645,3185
2009-W01,2008-12-29,2009-01-04,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2009-W02,2009-01-05,2009-01-11,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2009-W03,2009-01-12,2009-01-18,7,1,6,14.3%,560,700,140,4445,4200,245,385
2009-W04,2009-01-19,2009-01-24,6,2,4,33.3%,480,1400,920,3810,2800,1010,1930
2009-W05,2009-01-27,2009-02-01,6,1,5,16.7%,1000,700,-300,3351,3500,-149,-449
2009-W06,2009-02-02,2009-02-08,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2009-W07,2009-02-09,2009-02-15,7,1,6,14.3%,560,700,140,4445,4200,245,385
2009-W08,2009-02-16,2009-02-22,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2009-W09,2009-02-23,2009-03-01,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2009-W10,2009-03-02,2009-03-08,7,1,6,14.3%,560,700,140,4445,4200,245,385
2009-W11,2009-03-09,2009-03-15,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2009-W12,2009-03-16,2009-03-22,7,1,6,14.3%,560,700,140,4445,4200,245,385
2009-W13,2009-03-23,2009-03-29,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2009-W14,2009-03-30,2009-04-05,7,1,6,14.3%,560,700,140,4445,4200,245,385
2009-W15,2009-04-06,2009-04-12,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2009-W16,2009-04-13,2009-04-19,7,1,6,14.3%,560,700,140,4445,4200,245,385
2009-W17,2009-04-20,2009-04-26,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2009-W18,2009-04-27,2009-05-03,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2009-W19,2009-05-04,2009-05-10,7,1,6,14.3%,560,700,140,4445,4200,245,385
2009-W20,2009-05-11,2009-05-17,7,1,6,14.3%,560,700,140,4445,4200,245,385
2009-W21,2009-05-18,2009-05-24,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2009-W22,2009-05-25,2009-05-31,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2009-W23,2009-06-01,2009-06-07,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2009-W24,2009-06-08,2009-06-14,6,3,3,50.0%,480,2100,1620,3810,2100,1710,3330
2009-W25,2009-06-15,2009-06-21,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2009-W26,2009-06-22,2009-06-28,7,1,6,14.3%,560,700,140,4445,4200,245,385
2009-W27,2009-06-29,2009-07-05,7,1,6,14.3%,560,700,140,4445,4200,245,385
2009-W28,2009-07-06,2009-07-12,7,4,3,57.1%,560,2800,2240,4445,2100,2345,4585
2009-W29,2009-07-13,2009-07-19,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2009-W30,2009-07-20,2009-07-26,7,1,6,14.3%,560,700,140,4445,4200,245,385
2009-W31,2009-07-27,2009-08-02,7,3,4,42.9%,560,2100,1540,4445,2800,1645,3185
2009-W32,2009-08-03,2009-08-09,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2009-W33,2009-08-10,2009-08-16,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2009-W34,2009-08-17,2009-08-23,7,1,6,14.3%,560,700,140,4445,4200,245,385
2009-W35,2009-08-24,2009-08-30,7,1,6,14.3%,560,700,140,4445,4200,245,385
2009-W36,2009-08-31,2009-09-06,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2009-W37,2009-09-07,2009-09-13,7,1,6,14.3%,560,700,140,4445,4200,245,385
2009-W38,2009-09-14,2009-09-20,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2009-W39,2009-09-21,2009-09-27,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2009-W40,2009-09-28,2009-10-04,7,1,6,14.3%,560,700,140,4445,4200,245,385
2009-W41,2009-10-05,2009-10-11,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2009-W42,2009-10-12,2009-10-18,7,0,7,0.0%,568,0,-568,4437,4900,-463,-1031
2009-W43,2009-10-19,2009-10-25,7,1,6,14.3%,568,700,132,4437,4200,237,369
2009-W44,2009-10-26,2009-11-01,7,1,6,14.3%,560,700,140,4445,4200,245,385
2009-W45,2009-11-02,2009-11-08,7,1,6,14.3%,560,700,140,4445,4200,245,385
2009-W46,2009-11-09,2009-11-15,7,1,6,14.3%,560,700,140,4445,4200,245,385
2009-W47,2009-11-16,2009-11-22,7,1,6,14.3%,560,700,140,4445,4200,245,385
2009-W48,2009-11-23,2009-11-29,7,1,6,14.3%,560,700,140,4445,4200,245,385
2009-W49,2009-11-30,2009-12-06,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2009-W50,2009-12-07,2009-12-13,7,3,4,42.9%,560,2100,1540,4445,2800,1645,3185
2009-W51,2009-12-14,2009-12-20,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2009-W52,2009-12-21,2009-12-27,7,1,6,14.3%,560,700,140,4445,4200,245,385
2009-W53,2009-12-28,2010-01-03,7,1,6,14.3%,560,700,140,4445,4200,245,385
2010-W01,2010-01-04,2010-01-10,7,3,4,42.9%,560,2100,1540,4445,2800,1645,3185
2010-W02,2010-01-11,2010-01-17,7,3,4,42.9%,560,2100,1540,4445,2800,1645,3185
2010-W03,2010-01-18,2010-01-24,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2010-W04,2010-01-25,2010-01-31,7,1,6,14.3%,560,700,140,4445,4200,245,385
2010-W05,2010-02-01,2010-02-07,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2010-W06,2010-02-08,2010-02-12,5,2,3,40.0%,400,1400,1000,3175,2100,1075,2075
2010-W07,2010-02-17,2010-02-21,4,1,3,25.0%,568,700,132,2321,2100,221,353
2010-W08,2010-02-22,2010-02-28,7,3,4,42.9%,560,2100,1540,4445,2800,1645,3185
2010-W09,2010-03-01,2010-03-07,7,1,6,14.3%,560,700,140,4445,4200,245,385
2010-W10,2010-03-08,2010-03-14,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2010-W11,2010-03-15,2010-03-21,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2010-W12,2010-03-22,2010-03-28,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2010-W13,2010-03-29,2010-04-04,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2010-W14,2010-04-05,2010-04-11,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2010-W15,2010-04-12,2010-04-18,7,3,4,42.9%,560,2100,1540,4445,2800,1645,3185
2010-W16,2010-04-19,2010-04-25,7,1,6,14.3%,560,700,140,4445,4200,245,385
2010-W17,2010-04-26,2010-05-02,7,2,5,28.6%,560,1400,840,4445,3500,945,1785
2010-W18,2010-05-03,2010-05-09,7,1,6,14.3%,568,700,132,4437,4200,237,369
2010-W19,2010-05-10,2010-05-16,7,0,7,0.0%,560,0,-560,4445,4900,-455,-1015
2010-W20,2010-05-17,2010-05-23,7,1,6,14.3%,560,700,140,4445,4200,245,385
