axis,patternType,formation,fixed,days,errors,errorRate,expectedErrorRate,errorLift
dit,so_le_theo_cap,formed,normal,5578,3707,66.46,50,16.46
tong_tt,so_le_theo_cap,formed,normal,2737,1818,66.42,50,16.42
tong_moi,so_le_theo_cap,formed,normal,2737,1818,66.42,50,16.42
hieu,so_le_theo_cap,formed,normal,2737,1818,66.42,50,16.42
dau,so_le_theo_cap,formed,normal,5541,3666,66.16,50,16.16
dau,tien_lui_so_le,formed,fixed3,886,168,18.96,16.38,2.58
tong_moi,tien_lui_so_le,formed,fixed3,193,28,14.51,12.46,2.05
tong_moi,tien_lui_so_le,formed,normal,4826,2800,58.02,57.06,0.96
other,lui_lien_tiep,formed,normal,1091,80,7.33,6.51,0.82
hieu,tien_deu,formed,normal,4248,494,11.63,10.84,0.79
hieu,tien_lien_tiep,formed,normal,8482,1431,16.87,16.26,0.61
other,tien_deu,formed,normal,248,4,1.61,1,0.61
dit,ve_so_le,formed,fixed3,75698,8020,10.59,10,0.59
dit,other,formed,normal,6655,1948,29.27,28.69,0.58
dit,ve_so_le,formed,normal,15338,1615,10.53,10,0.53
tong_moi,ve_so_le,potential,fixed3,357,13,3.64,3.16,0.48
so,tien_lien_tiep,formed,normal,3698,1235,33.4,32.93,0.47
tong_moi,lui_deu,formed,fixed3,6781,503,7.42,6.97,0.45
dit,lui_deu,formed,normal,2783,289,10.38,10,0.38
tong_moi,tien_lien_tiep,formed,fixed3,6989,507,7.25,6.88,0.37
dit,tien_deu,formed,normal,2796,290,10.37,10,0.37
tong_moi,tien_deu,formed,normal,2871,204,7.11,6.76,0.35
dau,ve_so_le,formed,normal,18375,2307,12.56,12.2,0.35
dit,lui_lien_tiep,formed,fixed3,15596,1612,10.34,10,0.34
tong_tt,tien_deu,formed,fixed3,15660,1618,10.33,10,0.33
hieu,tien_deu,formed,fixed3,14827,1399,9.44,9.11,0.32
hieu,tien_lien_tiep,formed,fixed3,14858,1475,9.93,9.7,0.23
