id,name,days,played,skipped,wins,losses,hitRate,avgExcluded,avgBet,avgSelectedStreaks,stake,payout,profit,roi,best,worst
errNumberRiskStrict80,"Điểm số strict theo sai số, loại 80",7069,7069,0,1887,5182,26.69,80,20,20.64,1413800,1320900,-92900,-6.57,500,-200
errNumberRiskStrict75,"Điểm số strict theo sai số, loại 75",7069,7069,0,2334,4735,33.02,75,25,20.64,1767250,1633800,-133450,-7.55,450,-250
errNumberRiskStrict70,"Điểm số strict theo sai số, loại 70",7069,7069,0,2729,4340,38.61,70,30,20.64,2120700,1910300,-210400,-9.92,400,-300
errUnion80,"Union sai số tốt, loại 80",7069,6757,312,2215,4542,32.78,72.73,27.27,6.1,1842900,1550500,-292400,-15.87,500,-700
errUnionStrict80,"Union strict sai số, loại 80",7069,6279,790,2185,4094,34.8,70.81,29.19,5.11,1833010,1529500,-303510,-16.56,500,-700
errNumberRisk80,"Điểm số theo sai số, loại 80",7069,7069,0,1568,5501,22.18,80,20,79.73,1413800,1097600,-316200,-22.37,500,-200
errUnion75,"Union sai số tốt, loại 75",7069,6681,388,2564,4117,38.38,68.1,31.9,6.33,2131460,1794800,-336660,-15.79,450,-700
errUnionStrict75,"Union strict sai số, loại 75",7069,6094,975,2454,3640,40.27,66.27,33.73,5.34,2055320,1717800,-337520,-16.42,450,-700
errNumberRisk75,"Điểm số theo sai số, loại 75",7069,7069,0,1967,5102,27.83,75,25,79.73,1767250,1376900,-390350,-22.09,450,-250
errUnionStrict70,"Union strict sai số, loại 70",7069,6014,1055,2651,3363,44.08,62.63,37.37,5.07,2247440,1855700,-391740,-17.43,400,-700
errUnion70,"Union sai số tốt, loại 70",7069,6659,410,2851,3808,42.81,64.04,35.96,5.99,2394260,1995700,-398560,-16.65,400,-700
errNumberRisk70,"Điểm số theo sai số, loại 70",7069,7069,0,2372,4697,33.55,70,30,79.73,2120700,1660400,-460300,-21.71,400,-300
