year,id,name,played,skipped,wins,losses,hitRate,avgExcluded,avgBet,profit,roi
2006,errNumberRisk70,"Điểm số theo sai số, loại 70",90,0,27,63,30,70,30,-8100,-30
2006,errNumberRisk75,"Điểm số theo sai số, loại 75",90,0,22,68,24.44,75,25,-7100,-31.56
2006,errNumberRisk80,"Điểm số theo sai số, loại 80",90,0,17,73,18.89,80,20,-6100,-33.89
2006,errNumberRiskStrict70,"Điểm số strict theo sai số, loại 70",90,0,33,57,36.67,70,30,-3900,-14.44
2006,errNumberRiskStrict75,"Điểm số strict theo sai số, loại 75",90,0,29,61,32.22,75,25,-2200,-9.78
2006,errNumberRiskStrict80,"Điểm số strict theo sai số, loại 80",90,0,22,68,24.44,80,20,-2600,-14.44
2006,errUnion70,"Union sai số tốt, loại 70",85,5,33,52,38.82,65.45,34.55,-6270,-21.35
2006,errUnion75,"Union sai số tốt, loại 75",85,5,29,56,34.12,69.42,30.58,-5690,-21.89
2006,errUnion80,"Union sai số tốt, loại 80",86,4,31,55,36.05,73.21,26.79,-1340,-5.82
2006,errUnionStrict70,"Union strict sai số, loại 70",74,16,30,44,40.54,61.91,38.09,-7190,-25.51
2006,errUnionStrict75,"Union strict sai số, loại 75",77,13,30,47,38.96,65.47,34.53,-5590,-21.02
2006,errUnionStrict80,"Union strict sai số, loại 80",79,11,27,52,34.18,70.56,29.44,-4360,-18.74
2007,errNumberRisk70,"Điểm số theo sai số, loại 70",363,0,136,227,37.47,70,30,-13700,-12.58
2007,errNumberRisk75,"Điểm số theo sai số, loại 75",363,0,110,253,30.3,75,25,-13750,-15.15
2007,errNumberRisk80,"Điểm số theo sai số, loại 80",363,0,91,272,25.07,80,20,-8900,-12.26
2007,errNumberRiskStrict70,"Điểm số strict theo sai số, loại 70",363,0,141,222,38.84,70,30,-10200,-9.37
2007,errNumberRiskStrict75,"Điểm số strict theo sai số, loại 75",363,0,124,239,34.16,75,25,-3950,-4.35
2007,errNumberRiskStrict80,"Điểm số strict theo sai số, loại 80",363,0,98,265,27,80,20,-4000,-5.51
2007,errUnion70,"Union sai số tốt, loại 70",341,22,156,185,45.75,61.79,38.21,-21110,-16.2
