axis,patternType,formation,days,errors,errorRate,expectedErrorRate,errorLift,avgNumbers,avgPriority,avgPredictedEdge
dit,so_le_theo_cap,formed,5311,3534,66.54,50,16.54,50,31.06,-15.42
tong_tt,so_le_theo_cap,formed,2612,1736,66.46,50,16.46,50,31.22,-15.56
tong_moi,so_le_theo_cap,formed,2612,1736,66.46,50,16.46,50,31.22,-15.56
hieu,so_le_theo_cap,formed,2612,1736,66.46,50,16.46,50,31.22,-15.56
dau,so_le_theo_cap,formed,5287,3501,66.22,50,16.22,50,30.86,-15.51
tong_moi,tien_lui_so_le,formed,4804,2710,56.41,55.25,1.16,55.25,37.85,0.43
other,tien_deu,formed,239,4,1.67,1,0.67,1,97.83,0.06
so,tien_lien_tiep,formed,3523,1176,33.38,32.78,0.6,32.78,47.88,0.18
dit,ve_so_le,formed,86931,9202,10.59,10,0.59,10,53.8,-17.54
dit,other,formed,6337,1853,29.24,28.72,0.52,28.72,51.03,1.43
so,tien_deu,formed,75,1,1.33,1,0.33,1,93.65,-0.69
hieu,tien_deu,formed,18144,1780,9.81,9.49,0.32,9.49,66.15,-0.29
other,lui_lien_tiep,formed,1025,70,6.83,6.52,0.31,6.52,71.55,-1.11
tong_tt,tien_deu,formed,19356,1981,10.23,9.93,0.3,9.93,66.25,0.1
hieu,tien_lien_tiep,formed,22182,2738,12.34,12.06,0.29,12.06,69.94,4.88
tong_moi,lui_deu,formed,9089,657,7.23,6.96,0.27,6.96,72.75,0.14
dit,lui_lien_tiep,formed,17968,1960,10.91,10.66,0.25,10.66,71.34,6.19
tong_moi,tien_lien_tiep,formed,14782,1861,12.59,12.34,0.25,12.34,72,2.48
tong_moi,tien_deu,formed,9357,667,7.13,6.9,0.23,6.9,72.88,-0.17
hieu,lui_lien_tiep,formed,21835,2372,10.86,10.7,0.17,10.7,70.5,3.7
other,tien_lien_tiep,formed,1082,72,6.65,6.5,0.16,6.5,74.8,1.22
tong_moi,ve_so_le,potential,4956,179,3.61,3.46,0.15,3.46,69.21,3.3
dau,lui_deu,formed,17674,1773,10.03,9.91,0.12,9.91,66.72,0.47
hieu,ve_so_le,potential,1120,48,4.29,4.16,0.12,4.16,75.42,4.03
dit,tien_deu,formed,17186,1738,10.11,10,0.11,10,66.41,0.29
dit,lui_deu,formed,17505,1765,10.08,10,0.08,10,66.16,0.29
dau,ve_lien_tiep,formed,55382,5824,10.52,10.46,0.06,10.46,52.25,-20.74
dit,ve_lien_tiep,formed,52543,5287,10.06,10,0.06,10,51.97,-21.38
dit,tien_lien_tiep,formed,17629,1883,10.68,10.64,0.04,10.64,71.31,6.32
other,ve_lien_tiep,formed,1746,18,1.03,1,0.03,1,56.09,-23.35
tong_tt,tien_lui_so_le,formed,5249,2567,48.9,48.94,-0.03,48.94,46.75,2.66
so,ve_so_le,formed,3135,30,0.96,1,-0.04,1,59.26,-19.08
dau,lui_lien_tiep,formed,19062,1958,10.27,10.34,-0.06,10.34,72.24,6.15
hieu,lui_deu,formed,17896,1686,9.42,9.5,-0.08,9.5,66.56,0.29
dau,ve_so_le,potential,10892,354,3.25,3.34,-0.09,3.34,70.22,3.23
tong_tt,other,formed,17614,1744,9.9,10,-0.1,10,65.13,-0.4
dau,ve_so_le,formed,87767,9042,10.3,10.44,-0.14,10.44,53.52,-16.99
tong_moi,ve_so_le,formed,52644,3571,6.78,6.95,-0.17,6.95,58.86,-13.89
dau,tien_lien_tiep,formed,18985,1932,10.18,10.36,-0.18,10.36,70.55,5.79
dau,tien_deu,formed,17565,1708,9.72,9.91,-0.18,9.91,66.15,0.39
tong_tt,tien_lien_tiep,formed,23970,3020,12.6,12.85,-0.25,12.85,68.24,5.43
tong_moi,ve_lien_tiep,formed,32135,2171,6.76,7.03,-0.28,7.03,57.6,-16.65
tong_tt,ve_lien_tiep,formed,59682,5633,9.44,9.74,-0.3,9.74,53.27,-20.18
tong_tt,lui_lien_tiep,formed,23746,2982,12.56,12.88,-0.32,12.88,68.64,5.41
tong_tt,lui_deu,formed,19043,1829,9.6,9.94,-0.34,9.94,66.04,0.44
tong_moi,lui_lien_tiep,formed,14258,1747,12.25,12.66,-0.41,12.66,73.16,3.5
hieu,ve_lien_tiep,formed,59114,7049,11.92,12.35,-0.42,12.35,51.54,-20.04
dau,other,formed,6306,1786,28.32,28.74,-0.42,28.74,52.38,2.89
dit,tien_lui_so_le,formed,5157,2527,49,49.49,-0.49,49.49,48.22,3.87
other,lui_deu,formed,210,1,0.48,1,-0.52,1,99.88,0.84
tong_tt,ve_so_le,formed,94899,8690,9.16,9.72,-0.56,9.72,54.88,-16.59
dau,tien_lui_so_le,formed,5169,2539,49.12,49.72,-0.6,49.72,45.74,3.27
hieu,tien_lui_so_le,formed,5019,2429,48.4,49.25,-0.85,49.25,46.3,3.02
tong_moi,other,formed,9102,620,6.81,7.7,-0.89,7.7,71.5,0.86
hieu,other,formed,20440,2609,12.76,13.66,-0.9,13.66,61.54,-0.19
other,lui_deu,potential,16848,1,0.01,1,-0.99,1,73.42,0.89
dau,tien_deu,potential,14058,1,0.01,1,-0.99,1,72.41,0.87
other,tien_deu,potential,15921,1,0.01,1,-0.99,1,73.09,0.91
tong_tt,lui_deu,potential,12195,0,0,1,-1,1,67.91,0.85
dau,lui_deu,potential,12074,0,0,1,-1,1,74.63,0.9
tong_tt,tien_deu,potential,10486,0,0,1,-1,1,66.97,0.85
so,ve_lien_tiep,formed,74,0,0,1,-1,1,100,1
so,lui_deu,formed,69,0,0,1,-1,1,100,1
hieu,ve_so_le,formed,93578,10439,11.16,12.16,-1.01,12.16,54.22,-15.28
so,lui_lien_tiep,formed,3425,1080,31.53,32.56,-1.03,32.56,48.58,1.21
hieu,tien_deu,potential,9800,0,0,1.03,-1.03,1.03,68.75,0.87
hieu,lui_deu,potential,12056,0,0,1.08,-1.08,1.08,68.38,0.92
other,lui_lien_tiep,potential,12907,36,0.28,1.68,-1.4,1.68,73.55,1.61
other,tien_lien_tiep,potential,11988,24,0.2,1.68,-1.48,1.68,74.03,1.61
tong_moi,lui_deu,potential,20302,50,0.25,1.87,-1.62,1.87,69.04,1.7
tong_moi,tien_deu,potential,18558,2,0.01,1.73,-1.72,1.73,68.8,1.58
dau,tien_lien_tiep,potential,4337,12,0.28,2.51,-2.23,2.51,72.64,2.4
dau,lui_lien_tiep,potential,5063,9,0.18,2.41,-2.23,2.41,77.18,2.31
tong_moi,tien_lien_tiep,potential,11073,65,0.59,2.99,-2.4,2.99,70.79,2.83
tong_moi,lui_lien_tiep,potential,11785,69,0.59,3.21,-2.63,3.21,70.96,3.05
hieu,tien_lien_tiep,potential,1307,2,0.15,3.09,-2.93,3.09,70.75,2.93
hieu,lui_lien_tiep,potential,1138,5,0.44,3.47,-3.03,3.47,71.42,3.32
so,tien_lui_so_le,formed,57,35,61.4,64.47,-3.07,64.47,89.26,55.56
tong_tt,ve_so_le,potential,150,10,6.67,10,-3.33,10,76.41,9.78
tong_moi,other,potential,7652,0,0,3.4,-3.4,3.4,72.48,3.21
dau,ve_lien_tiep,potential,5416,0,0,3.46,-3.46,3.46,74.22,3.34
tong_moi,ve_lien_tiep,potential,2641,0,0,3.83,-3.83,3.83,71.91,3.67
hieu,ve_lien_tiep,potential,297,0,0,4.32,-4.32,4.32,67.31,4.13
tong_tt,tien_lien_tiep,potential,975,0,0,4.47,-4.47,4.47,70.41,4.25
tong_tt,lui_lien_tiep,potential,645,1,0.16,4.66,-4.5,4.66,69.61,4.43
hieu,other,potential,56,0,0,4.71,-4.71,4.71,92.78,4.53
other,other,potential,136,1,0.74,25,-24.26,25,76.91,24.81
other,other,formed,1802,10,0.55,25,-24.45,25,19.05,-75
