key,title,axis,patternType,days,errors,errorRate,expectedErrorRate,errorLift,realisedBreakRate,avgNumbers,avgPriority,avgDropOff,avgLower,avgSample,avgPredictedEdge,potentialShare,recordCriticalShare,fixed3Share,badness
hieu_2_5_7:tienLienTiep,"Hiệu (2,5,7) - Tiến liên tiếp",hieu,tien_lien_tiep,71,19,26.76,12.2,14.56,73.24,12.2,94,96.33,83.75,92.3,8.53,0,28.2,100,122.713
dit_3d_0_2_8:tienDeuLienTiep,"Đít (0,2,8) - Tiến Đều",dit,tien_deu,47,11,23.4,10,13.4,76.6,10,92,92.56,77.55,80,2.56,0,12.8,100,91.895
hieu_4_5_7:veCungGiaTri,"Hiệu (4,5,7) - Về cùng giá trị",hieu,other,39,10,25.64,10.97,14.67,74.36,10.97,90.46,90.15,73.63,70.4,1.12,0,12.8,100,91.593
dit_3d_0_2_3:tienLienTiep,"Đít (0,2,3) - Tiến liên tiếp",dit,tien_lien_tiep,61,13,21.31,10,11.31,78.69,10,92.78,96.18,83.22,53,6.18,0,14.8,100,88.345
hieu_1_5_8:veSoleMoi,"Hiệu (1,5,8) - Về so le mới",hieu,ve_so_le,33,10,30.3,15.21,15.09,69.7,15.21,90.77,86.96,68.54,100.9,2.17,0,30.3,100,86.691
dau_3d_1_3_8:luiLienTiep,"Đầu (1,3,8) - Lùi liên tiếp",dau,lui_lien_tiep,77,15,19.48,10,9.48,80.52,10,95.03,97.65,85.23,51.9,7.65,0,44.2,100,83.191
dit_3d_1_4_9:luiLienTiep,"Đít (1,4,9) - Lùi liên tiếp",dit,lui_lien_tiep,77,15,19.48,10,9.48,80.52,10,93.48,95.74,84.18,102,5.74,0,19.5,100,83.191
tong_tt_cac_tong:tienLienTiep,Tổng TT - Các tổng - Tiến liên tiếp,tong_tt,tien_lien_tiep,46,14,30.43,18.26,12.17,69.57,18.26,87.49,82.04,72.35,271.3,0.3,0,6.5,0,82.567
dau_3d_0_7_9:tienDeuLienTiep,"Đầu (0,7,9) - Tiến Đều",dau,tien_deu,39,9,23.08,10,13.08,76.92,10,92.49,90.94,72.29,62.6,0.94,0,28.2,100,81.665
hieu_0_1_3:tienLienTiep,"Hiệu (0,1,3) - Tiến liên tiếp",hieu,tien_lien_tiep,112,21,18.75,11.11,7.64,81.25,11.11,93.23,94.1,86.96,191.8,5.2,0,28.6,100,80.884
dit_3d_0_2_8:luiLienTiep,"Đít (0,2,8) - Lùi liên tiếp",dit,lui_lien_tiep,65,13,20,10,10,80,10,94.15,96.55,84.06,87.2,6.55,0,24.6,100,80.623
dau_3d_1_4_8:luiLienTiep,"Đầu (1,4,8) - Lùi liên tiếp",dau,lui_lien_tiep,46,10,21.74,10,11.74,78.26,10,94.33,96.27,83.12,78.1,6.27,0,30.4,100,79.619
tong_tt_2_6_8:veSoleMoi,"Tổng TT (2,6,8) - Về so le mới",tong_tt,ve_so_le,46,10,21.74,10,11.74,78.26,10,89.6,85.03,71.66,134.6,-4.97,0,15.2,100,79.619
dit_3d_2_4_9:luiDeuLienTiep,"Đít (2,4,9) - Lùi Đều",dit,lui_deu,59,12,20.34,10,10.34,79.66,10,93.53,93.21,75.29,63.2,3.21,0,40.7,100,79.415
dit_3d_4_5_7:luiDeuLienTiep,"Đít (4,5,7) - Lùi Đều",dit,lui_deu,28,7,25,10,15,75,10,92.37,91.98,75.57,83.9,1.98,0,25,100,79.373
hieu_0_2_7:tienDeuLienTiep,"Hiệu (0,2,7) - Tiến Đều",hieu,tien_deu,47,10,21.28,9.7,11.57,78.72,9.7,93.02,92.44,75.34,64.4,2.15,0,36.2,100,79.351
tong_tt_1_6_8:tienDeuLienTiep,"Tổng TT (1,6,8) - Tiến Đều",tong_tt,tien_deu,53,11,20.75,10,10.75,79.25,10,93.59,93.23,77.93,61.1,3.23,0,37.7,100,78.296
dit_3d_1_2_4:luiDeuLienTiep,"Đít (1,2,4) - Lùi Đều",dit,lui_deu,23,6,26.09,10,16.09,73.91,10,89.85,86.25,67.38,71.4,-3.75,0,21.7,100,77.15
tong_tt_2_4_10:veSole,"Tổng TT (2,4,10) - Về so le",tong_tt,ve_so_le,23,6,26.09,10,16.09,73.91,10,89.38,82.6,59.7,60,-7.4,0,21.7,100,77.15
dau_3d_0_5_8:luiLienTiep,"Đầu (0,5,8) - Lùi liên tiếp",dau,lui_lien_tiep,41,9,21.95,10,11.95,78.05,10,93.53,96.15,84.51,85.9,6.15,0,22,100,76.525
dau_3d_1_4_7:luiDeuLienTiep,"Đầu (1,4,7) - Lùi Đều",dau,lui_deu,41,9,21.95,10,11.95,78.05,10,90.99,90.1,72.01,71.6,0.1,0,19.5,100,76.525
dau_9:veSole,Đầu 9 - Về so le (tiềm năng),dau,ve_so_le,29,7,24.14,10,14.14,75.86,10,95.41,95.71,69.48,45.2,5.71,6.9,55.2,0,76.135
dit_3d_3_5_8:veSole,"Đít (3,5,8) - Về so le",dit,ve_so_le,29,7,24.14,10,14.14,75.86,10,90.14,85.68,58.24,66.8,-4.32,0,27.6,100,76.135
tong_tt_3_5_10:tienDeuLienTiep,"Tổng TT (3,5,10) - Tiến Đều",tong_tt,tien_deu,29,7,24.14,10,14.14,75.86,10,91.9,91.19,69.59,59.8,1.19,0,27.6,100,76.135
dau_3d_0_2_9:tienLienTiep,"Đầu (0,2,9) - Tiến liên tiếp",dau,tien_lien_tiep,35,8,22.86,10,12.86,77.14,10,95.05,97.66,84.16,90.4,7.66,0,22.9,100,76.064
hieu_1_5_7:luiLienTiep,"Hiệu (1,5,7) - Lùi liên tiếp",hieu,lui_lien_tiep,141,19,13.48,7.28,6.2,86.52,7.28,97.51,99.56,93.48,81,6.83,0,66.7,100,73.604
dit_3d_1_4_9:veSoleMoi,"Đít (1,4,9) - Về so le mới",dit,ve_so_le,24,6,25,10,15,75,10,90.15,86.3,59.49,106.8,-3.7,0,25,100,73.485
tong_tt_2_4_9:veLienTiep,"Tổng TT (2,4,9) - Về liên tiếp",tong_tt,ve_lien_tiep,24,6,25,10,15,75,10,95.68,94.84,53.63,12.7,4.84,0,66.7,100,73.485
dau_3d_0_3_6:luiDeuLienTiep,"Đầu (0,3,6) - Lùi Đều",dau,lui_deu,30,7,23.33,10,13.33,76.67,10,90.62,89.55,76.58,116.8,-0.45,0,10,100,73.03
hieu_0_2_5:tienDeuLienTiep,"Hiệu (0,2,5) - Tiến Đều",hieu,tien_deu,77,15,19.48,11.25,8.23,80.52,11.25,93.87,94.9,79.51,63.9,6.14,0,35.1,100,72.251
dit_le_lon_hon_5:veSole,Đít le - Về so le,dit,ve_so_le,43,9,20.93,10,10.93,79.07,10,92.96,88.64,66.5,58.9,-1.36,0,44.2,0,71.674
dau_3d_0_5_8:luiDeuLienTiep,"Đầu (0,5,8) - Lùi Đều",dau,lui_deu,43,9,20.93,10,10.93,79.07,10,90.32,90.41,75.32,95.4,0.41,0,16.3,100,71.674
hieu_4_7_9:veCungGiaTri,"Hiệu (4,7,9) - Về cùng giá trị",hieu,other,35,8,22.86,10.8,12.06,77.14,10.8,90.88,91.89,69.85,25.3,2.69,0,14.3,100,71.331
hieu_0_4_8:veCungGiaTri,"Hiệu (0,4,8) - Về cùng giá trị",hieu,other,35,8,22.86,10.97,11.89,77.14,10.97,90.31,88.97,68.28,47.7,-0.05,0,17.1,100,70.317
dau_3d_0_3_7:tienLienTiep,"Đầu (0,3,7) - Tiến liên tiếp",dau,tien_lien_tiep,71,13,18.31,10,8.31,81.69,10,92.73,96.16,83.63,63.4,6.16,0,15.5,100,70.02
dit_3d_4_6_8:tienLienTiep,"Đít (4,6,8) - Tiến liên tiếp",dit,tien_lien_tiep,64,12,18.75,10,8.75,81.25,10,92.94,94.82,83.43,91,4.82,0,18.8,100,70
dit_3d_2_4_8:veSole,"Đít (2,4,8) - Về so le",dit,ve_so_le,25,6,24,10,14,76,10,91.8,88.72,56.06,29,-1.28,0,40,100,70
hieu_1_5_8:veSole,"Hiệu (1,5,8) - Về so le",hieu,ve_so_le,27,8,29.63,16.3,13.33,70.37,16.3,91.21,85.09,56.94,109.3,1.39,0,37,100,69.282
tong_moi_9_11_12:tienLienTiep,"Tổng Mới (9,11,12) - Tiến liên tiếp",tong_moi,tien_lien_tiep,21,5,23.81,8.86,14.95,76.19,8.86,92.36,94.2,75.23,46.8,3.05,0,28.6,100,68.52
hieu_4_6:veCungGiaTri,"Hiệu (4,6) - Về cùng giá trị",hieu,other,42,9,21.43,10.86,10.57,78.57,10.86,90.91,90.68,75.19,78.9,1.54,0,11.9,0,68.511
dit_3d_2_6_8:luiDeuLienTiep,"Đít (2,6,8) - Lùi Đều",dit,lui_deu,58,11,18.97,10,8.97,81.03,10,91.25,92.61,75.93,68.3,2.61,0,15.5,100,68.279
