id,name,days,played,skipped,hits,misses,hitRate,missRate,expectedMissRateByCoverage,missLiftVsCoverage,avgExcluded,avgBet,avgSelectedStreaks,stake,payout,profit,roi
potentialPriority85,Chỉ chuỗi chưa HT >=85,7069,199,6870,180,19,90.45,9.55,37.64,-28.09,37.64,62.36,21.12,124100,126000,1900,1.53
priority85,Ưu tiên >=85,7069,6804,265,1745,5059,25.65,74.35,76.69,-2.33,76.69,23.31,37.06,1586350,1221500,-364850,-23
lower70Priority85,Ưu tiên >=85 + lower >=70%,7069,6935,134,2058,4877,29.68,70.32,73.16,-2.83,73.16,26.84,32.17,1861620,1440600,-421020,-22.62
edgePositive85,Ưu tiên >=85 + edge dương,7069,6840,229,2141,4699,31.3,68.7,71.87,-3.17,71.87,28.13,31.16,1924360,1498700,-425660,-22.12
formedPriority85,Chỉ chuỗi đã HT >=85,7069,6808,261,1740,5068,25.56,74.44,74.5,-0.05,74.5,25.5,24.87,1736340,1218000,-518340,-29.85
noFixed3Priority85,"Ưu tiên >=85, bỏ nhóm 3 giá trị cố định",7069,4132,2937,2439,1693,59.03,40.97,45.94,-4.97,45.94,54.06,20.1,2233580,1707300,-526280,-23.56
sample50Priority85,Ưu tiên >=85 + mẫu >=50,7069,6406,663,2749,3657,42.91,57.09,61.71,-4.62,61.71,38.29,24.58,2453090,1924300,-528790,-21.56
priority90,Ưu tiên >=90,7069,6738,331,2450,4288,36.36,63.64,66.46,-2.82,66.46,33.54,28.05,2259950,1715000,-544950,-24.11
recordOr90,Kỷ lục hoặc ưu tiên >=90,7069,6738,331,2450,4288,36.36,63.64,66.46,-2.82,66.46,33.54,28.05,2259950,1715000,-544950,-24.11
risk25Target75,Tổng hợp rủi ro 25 số đánh,7069,7062,7,1757,5305,24.88,75.12,74.71,0.41,74.71,25.29,12.31,1785940,1229900,-556040,-31.13
priority95,Ưu tiên >=95,7069,4910,2159,2394,2516,48.76,51.24,52.19,-0.95,52.19,47.81,14.67,2347350,1675800,-671550,-28.61
ranked60to70,Xếp hạng loại 60-70 số,7069,6999,70,2821,4178,40.31,59.69,60.78,-1.09,60.78,39.22,8.87,2744750,1974700,-770050,-28.06
