year,id,name,played,skipped,hits,misses,hitRate,missRate,avgExcluded,avgBet,profit,roi
2006,priority85,Ưu tiên >=85,51,39,3,48,5.88,94.12,93.86,6.14,-1030,-32.91
2006,priority90,Ưu tiên >=90,83,7,8,75,9.64,90.36,90.36,9.64,-2400,-30
2006,priority95,Ưu tiên >=95,87,3,12,75,13.79,86.21,85.76,14.24,-3990,-32.2
2006,formedPriority85,Chỉ chuỗi đã HT >=85,63,27,4,59,6.35,93.65,93.73,6.27,-1150,-29.11
2006,potentialPriority85,Chỉ chuỗi chưa HT >=85,42,48,36,6,85.71,14.29,38.38,61.62,-680,-2.63
2006,edgePositive85,Ưu tiên >=85 + edge dương,71,19,5,66,7.04,92.96,94.04,5.96,-730,-17.26
2006,lower70Priority85,Ưu tiên >=85 + lower >=70%,89,1,10,79,11.24,88.76,89.97,10.03,-1930,-21.61
2006,sample50Priority85,Ưu tiên >=85 + mẫu >=50,42,48,36,6,85.71,14.29,38.52,61.48,-620,-2.4
2006,noFixed3Priority85,"Ưu tiên >=85, bỏ nhóm 3 giá trị cố định",89,1,49,40,55.06,44.94,59.89,40.11,-1400,-3.92
2006,recordOr90,Kỷ lục hoặc ưu tiên >=90,83,7,8,75,9.64,90.36,90.36,9.64,-2400,-30
2006,ranked60to70,Xếp hạng loại 60-70 số,90,0,36,54,40,60,62.56,37.44,-8500,-25.22
2006,risk25Target75,Tổng hợp rủi ro 25 số đánh,90,0,28,62,31.11,68.89,74.78,25.22,-3100,-13.66
2007,priority85,Ưu tiên >=85,282,81,26,256,9.22,90.78,93.04,6.96,-1430,-7.28
2007,priority90,Ưu tiên >=90,345,18,56,289,16.23,83.77,89.1,10.9,1590,4.23
2007,priority95,Ưu tiên >=95,357,6,77,280,21.57,78.43,78.57,21.43,-22620,-29.56
2007,formedPriority85,Chỉ chuỗi đã HT >=85,297,66,26,271,8.75,91.25,91.92,8.08,-5790,-24.14
2007,potentialPriority85,Chỉ chuỗi chưa HT >=85,108,255,96,12,88.89,11.11,38.54,61.46,820,1.24
2007,edgePositive85,Ưu tiên >=85 + edge dương,313,50,31,282,9.9,90.1,92.27,7.73,-2510,-10.37
2007,lower70Priority85,Ưu tiên >=85 + lower >=70%,346,17,44,302,12.72,87.28,89.82,10.18,-4440,-12.6
2007,sample50Priority85,Ưu tiên >=85 + mẫu >=50,175,188,147,28,84,16,41.45,58.55,440,0.43
