week_key,iso_year,iso_week,week_start,week_end,first_prediction_date,last_prediction_date,total_days,played_days,skipped_days,win_days,loss_days,break_even_days,actual_in_bet_days,actual_excluded_days,win_rate,hit_rate,stake_k_vnd,payout_k_vnd,profit_k_vnd,roi,stake_vnd,payout_vnd,profit_vnd,cumulative_stake_k_vnd,cumulative_payout_k_vnd,cumulative_profit_k_vnd,cumulative_profit_vnd,avg_excluded_count,avg_bet_count,min_bet_count,max_bet_count,min_excluded_count,max_excluded_count
2005-W39,2005,39,2005-09-26,2005-10-02,2005-10-02,2005-10-02,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2005-W40,2005,40,2005-10-03,2005-10-09,2005-10-03,2005-10-09,7,7,0,4,3,0,4,3,0.5714,0.5714,2248,2800,552,0.2456,2248000,2800000,552000,2248,2800,552,552000,59.86,40.14,40,41,59,60
2005-W41,2005,41,2005-10-10,2005-10-16,2005-10-10,2005-10-16,7,7,0,6,1,0,6,1,0.8571,0.8571,2240,4200,1960,0.875,2240000,4200000,1960000,4488,7000,2512,2512000,60,40,40,40,60,60
2005-W42,2005,42,2005-10-17,2005-10-23,2005-10-17,2005-10-23,7,7,0,5,2,0,5,2,0.7143,0.7143,2248,3500,1252,0.5569,2248000,3500000,1252000,6736,10500,3764,3764000,59.86,40.14,40,41,59,60
2005-W43,2005,43,2005-10-24,2005-10-30,2005-10-24,2005-10-30,7,7,0,1,6,0,1,6,0.1429,0.1429,2240,700,-1540,-0.6875,2240000,700000,-1540000,8976,11200,2224,2224000,60,40,40,40,60,60
2005-W44,2005,44,2005-10-31,2005-11-06,2005-10-31,2005-11-06,7,7,0,7,0,0,7,0,1,1,2248,4900,2652,1.1797,2248000,4900000,2652000,11224,16100,4876,4876000,59.86,40.14,40,41,59,60
2005-W45,2005,45,2005-11-07,2005-11-13,2005-11-07,2005-11-13,7,7,0,2,5,0,2,5,0.2857,0.2857,2256,1400,-856,-0.3794,2256000,1400000,-856000,13480,17500,4020,4020000,59.71,40.29,40,41,59,60
2005-W46,2005,46,2005-11-14,2005-11-20,2005-11-14,2005-11-20,7,7,0,4,3,0,4,3,0.5714,0.5714,2264,2800,536,0.2367,2264000,2800000,536000,15744,20300,4556,4556000,59.57,40.43,40,43,57,60
2005-W47,2005,47,2005-11-21,2005-11-27,2005-11-21,2005-11-27,7,7,0,5,2,0,5,2,0.7143,0.7143,2272,3500,1228,0.5405,2272000,3500000,1228000,18016,23800,5784,5784000,59.43,40.57,40,42,58,60
2005-W48,2005,48,2005-11-28,2005-12-04,2005-11-28,2005-12-04,7,7,0,3,4,0,3,4,0.4286,0.4286,2256,2100,-156,-0.0691,2256000,2100000,-156000,20272,25900,5628,5628000,59.71,40.29,40,41,59,60
